decision,entry_open_date,exit_close_date,sh.600000_entry_open,sh.600000_exit_close,sh.600028_entry_open,sh.600028_exit_close,sh.600031_entry_open,sh.600031_exit_close,sh.600036_entry_open,sh.600036_exit_close,sh.600089_entry_open,sh.600089_exit_close,sh.600183_entry_open,sh.600183_exit_close,sh.600212_entry_open,sh.600212_exit_close,sh.600309_entry_open,sh.600309_exit_close,sh.600426_entry_open,sh.600426_exit_close,sh.600438_entry_open,sh.600438_exit_close,sh.600519_entry_open,sh.600519_exit_close,sh.600547_entry_open,sh.600547_exit_close,sh.600570_entry_open,sh.600570_exit_close,sh.600584_entry_open,sh.600584_exit_close,sh.600660_entry_open,sh.600660_exit_close,sh.600703_entry_open,sh.600703_exit_close,sh.600809_entry_open,sh.600809_exit_close,sh.600845_entry_open,sh.600845_exit_close,sh.600887_entry_open,sh.600887_exit_close,sh.600900_entry_open,sh.600900_exit_close,sh.601012_entry_open,sh.601012_exit_close,sh.601088_entry_open,sh.601088_exit_close,sh.601168_entry_open,sh.601168_exit_close,sh.601186_entry_open,sh.601186_exit_close,sh.601288_entry_open,sh.601288_exit_close,sh.601318_entry_open,sh.601318_exit_close,sh.601398_entry_open,sh.601398_exit_close,sh.601600_entry_open,sh.601600_exit_close,sh.601668_entry_open,sh.601668_exit_close,sh.601688_entry_open,sh.601688_exit_close,sh.601766_entry_open,sh.601766_exit_close,sh.601888_entry_open,sh.601888_exit_close,sh.601899_entry_open,sh.601899_exit_close,sh.601988_entry_open,sh.601988_exit_close,sh.601998_entry_open,sh.601998_exit_close,sh.603288_entry_open,sh.603288_exit_close,sh.603501_entry_open,sh.603501_exit_close,sh.603986_entry_open,sh.603986_exit_close,sh.688041_entry_open,sh.688041_exit_close,sh.688981_entry_open,sh.688981_exit_close,sz.000333_entry_open,sz.000333_exit_close,sz.000651_entry_open,sz.000651_exit_close,sz.000858_entry_open,sz.000858_exit_close,sz.002475_entry_open,sz.002475_exit_close,sz.002594_entry_open,sz.002594_exit_close,sz.300274_entry_open,sz.300274_exit_close,sz.300308_entry_open,sz.300308_exit_close,sz.300394_entry_open,sz.300394_exit_close,sz.300750_entry_open,sz.300750_exit_close
2024-01-02,2024-01-03,2024-01-31,5.89130184,6.10585608,4.97149445,5.3005558,12.96676303,12.34345177,23.65961332,26.34469634,13.18386248,13.3453363,16.86407282,13.54980095,7.06,6.04,71.42462592,65.91078099,19.70274956,17.51195896,23.55725078,22.3305103,1527.68181474,1458.43628394,22.25745056,20.07171232,27.62845992,20.63552704,29.15360362,22.28401936,34.334064,34.7997654,13.5855082,10.96601505,198.76468047,179.96832817,37.4111988,32.257816,22.92906,23.66278992,21.53068173,22.1947036,21.9338442,19.11801285,27.70804023,31.77394048,13.33165636,12.96690516,6.68329562,7.5926476,3.21519525,3.40793175,34.66942178,35.58293074,4.19288818,4.52551814,5.3244723,5.39079135,4.05953982,4.40211702,12.84622736,12.85558368,4.89829725,5.30882121,76.06731392,75.68797312,11.76646174,11.39728072,3.50640415,3.7774728,4.58430342,5.42490348,34.43914206,31.46257647,101.001828,85.4059575,89.4173622,62.2336875,73.2441465,66.03931413,52.85,43.29,47.2236254,50.389745,27.631936,30.4383045,118.29539306,109.8743061,33.07293396,25.02312516,62.4052275,55.34776359,58.87106663,54.05766561,77.70148629,73.2078892,31.72210064,30.57899396,145.8439178,141.63023382
2024-01-03,2024-01-04,2024-02-01,5.93600064,6.0790368,5.07821705,5.20272675,12.87232193,12.51344575,23.81402704,26.09591868,13.32633938,13.297844,16.48637802,13.83307205,7.06,5.61,71.1219792,66.40258191,19.6812008,17.53350772,23.7680968,23.69142552,1538.486662,1463.08900202,22.1013264,19.98389248,26.49075976,20.62571928,27.73607036,22.47236294,34.608006,35.5759344,13.545668,11.354457,198.755687,183.43980759,36.87619112,32.257816,22.78930192,23.54923648,21.6489322,21.96729885,22.01288508,19.35513549,28.25586679,31.0720377,13.42284416,12.87571736,6.73626758,7.29247316,3.258999,3.40793175,34.57280064,35.3984722,4.23665528,4.49925788,5.2865757,5.2865757,4.09379754,4.29934386,12.98657216,12.97721584,4.91695743,5.25284067,76.27595136,76.7690944,11.76646174,11.48247634,3.54138075,3.73375205,4.67096322,5.33824368,34.34641416,31.8983976,98.20942452,83.4750402,85.35474708,63.04023609,71.50023825,68.6601591,52.5,42.68,47.2841796,50.8741786,27.5455862,30.46420944,117.33845136,110.0482955,32.0028984,25.3765314,63.00172422,55.39963287,58.25042753,55.55409544,74.5609533,79.08303595,31.337504,35.0232218,145.283339,139.22908796
2024-01-04,2024-01-05,2024-02-02,5.9002416,6.11479584,5.04264285,5.23830095,12.74010439,12.36233999,23.8054485,25.93292642,13.26934862,13.07937942,16.1464527,13.17210615,7.04,5.22,70.932825,64.03815441,19.6093716,17.33238596,23.2889013,23.02055182,1509.70705622,1450.339464,22.27696608,20.37420288,25.47075272,19.6645588,26.75470118,21.59012196,34.8910794,35.749431,13.23690645,11.02577535,195.14031206,188.4131965,36.87619112,31.274346,22.69321824,23.54923648,21.63073982,22.08554932,21.59792046,18.64376757,28.52978007,31.68834258,13.45931928,12.75717322,6.70095294,7.30130182,3.30280275,3.4517355,34.1248299,35.2227974,4.28042238,4.52551814,5.27710155,5.2486791,4.05953982,4.32503715,12.9117216,12.50939984,4.87963707,5.27150085,74.43614848,74.46459904,11.79486028,11.38781454,3.6200781,3.7774728,4.70562714,5.26891584,33.20586099,32.12094456,96.8429292,79.1180986,80.30635035,59.92357302,73.85202309,68.08217808,51.75,42.13,47.751312,50.389745,27.6751109,30.7405288,114.833004,107.71683754,32.1992352,25.16056092,62.39550201,54.138561,56.6160779,54.6852007,73.79184318,78.22846915,31.0526176,35.254692,141.06965502,136.407508
2024-01-05,2024-01-08,2024-02-05,5.97175968,6.15949464,4.9981751,5.3539171,12.67399562,12.39067232,24.16574718,26.34469634,13.25985016,13.06988096,15.94816293,12.98325875,6.82,4.7,70.932825,66.21342771,19.5016278,17.30365428,22.8097058,22.83845753,1509.407174,1481.24550734,22.23793504,20.43274944,25.1078656,18.9289768,26.49696786,20.77727072,35.0463132,37.1374038,13.21698635,10.9958952,192.93691191,193.04483355,36.69523264,31.3136848,22.92032512,24.1519432,21.59435506,22.52216644,21.15331551,17.95215987,28.5041007,32.63847927,13.23134978,12.87571736,6.73626758,7.062928,3.26775975,3.5218215,34.23023478,35.73225432,4.26291554,4.63055918,5.2297308,5.2107825,4.09379754,4.32503715,12.87429632,12.36905504,4.86097689,5.33681148,73.03258752,73.84817024,11.79486028,11.51087488,3.6025898,3.8824026,4.8529488,5.5028973,32.38985547,32.5474929,95.555651,78.44475308,78.663381,57.67320288,70.74288381,69.4573743,50.59,42.97,48.097336,51.427817,28.59905376,31.15500784,113.97175647,110.10919179,31.86546264,26.48583432,62.5024824,54.462744,54.8920804,55.16102401,71.0714722,79.759568,30.09824816,36.8215672,140.3315596,141.95723812
2024-01-08,2024-01-09,2024-02-06,5.9002416,6.257832,4.9270267,5.30944935,12.51344575,12.9384307,24.12285448,26.87656582,13.23135478,13.68728086,15.63656472,13.87084153,6.72,4.84,69.7033227,68.3792433,19.05628676,18.10814132,23.01096791,24.07478192,1491.24158134,1523.038184,21.711016,20.75475552,24.63709312,20.24321664,25.88237302,22.48227576,35.2654668,37.1282724,13.2070263,11.54369795,191.96561715,197.6764706,36.0343408,33.92578112,22.7980368,24.57995232,21.4670084,22.48578168,21.36079782,19.3650156,28.6752965,32.30464746,13.33165636,13.4957944,6.58618036,7.31895914,3.258999,3.58314675,33.7734803,36.50522344,4.27166896,4.65681944,5.2107825,5.35289475,4.04241096,4.37642373,12.6778136,13.02399744,4.83298662,5.47676283,73.19380736,78.4287104,11.65286758,11.53927342,3.57635735,3.8998909,4.80095292,5.47689936,32.00039829,34.11459441,94.07033,83.25719312,77.667642,61.69598844,69.2580705,76.0343997,49.48,44.97,47.3274326,51.860347,28.33136938,30.9995782,111.4402107,115.69425153,30.9721302,27.70312248,61.918953,57.01406421,55.24377589,58.0642358,72.48150742,88.93191832,30.803342,40.774366,140.10732808,147.92740234
2024-01-09,2024-01-10,2024-02-07,5.90918136,6.20419344,4.95370735,5.3539171,12.44733698,12.99509536,24.03706908,26.85940874,13.3453363,13.79176392,15.85373923,13.87084153,6.85,4.52,68.10496971,69.37230285,19.1065672,18.61812864,23.34640476,24.54439351,1491.3233674,1554.83478666,21.81835136,20.94015296,24.4213224,20.4982184,25.23803972,23.295127,34.790634,37.712682,13.09746575,11.4540575,188.86287,203.54920651,35.45999432,33.97298768,23.02514368,24.70224064,21.38514269,22.4675893,21.736242,19.53297747,29.14608495,33.03222961,13.66905122,14.20705924,6.61266634,7.40724574,3.258999,3.5218215,33.63294046,37.22549012,4.26291554,4.57803866,5.2297308,5.42868795,4.07666868,4.41068145,12.6778136,13.08949168,4.87030698,5.46743274,75.156896,79.661568,11.67179994,11.5960705,3.5851015,3.80370525,4.83561684,5.35557564,31.85203365,34.80078087,93.78316794,85.02967618,76.80134907,62.0345397,68.37116859,75.48631425,48.25,42.9,47.7253602,52.8638166,28.7976583,31.7767264,111.18792607,116.45980489,30.88377864,27.71293932,62.1458811,58.21029948,56.04371073,58.77452277,72.16104487,88.73964079,30.12317572,40.1333716,137.28574812,149.1139608
2024-01-10,2024-01-11,2024-02-08,5.86448256,6.22207296,4.8736654,5.32723645,12.51344575,13.38230387,24.019912,26.9366156,13.36433322,13.89624698,15.49492917,14.163555,6.7,4.96,68.90887506,70.49777034,19.15684764,18.9988234,23.82560026,24.89899818,1490.4146334,1550.300204,21.9061712,21.2719168,24.1270896,21.331878,25.38673202,23.77094236,35.338518,37.5939738,12.948065,11.8126193,190.5716293,202.5329444,35.40492,33.53239312,23.12996224,24.61489184,21.26689222,22.41301216,21.75600222,19.96770231,28.97488915,32.58712053,13.29518124,13.80583292,6.60383768,7.39841708,3.25023825,3.469257,33.2025372,37.57683972,4.23665528,4.51676472,5.2107825,5.4002655,4.06810425,4.38498816,12.61231936,13.29533072,4.8516468,5.49542301,77.07256704,80.0883264,11.65286758,11.832725,3.52389245,3.76872865,4.83561684,5.2862478,32.1765813,34.64314344,92.089902,86.33675866,75.83548224,68.23799367,66.89632047,76.45293768,47.28,44.0,47.7686132,52.1544674,29.06534268,31.20681772,111.9621789,116.21621973,30.432204,28.40993496,61.6596066,58.73223411,58.99519445,58.98140247,71.2139,90.441653,29.6281856,38.7445504,140.76133668,152.14108632
2024-01-11,2024-01-12,2024-02-19,5.82872352,6.36510912,4.75804925,5.5851494,12.74010439,13.35397154,24.24295404,27.12534348,13.38333014,14.1052131,15.74987316,14.80563616,7.1,5.45,67.40509917,70.56397431,18.76178704,19.17121348,24.19937275,24.918166,1490.29649798,1540.69488562,21.43779872,20.72548224,24.40170688,21.84188152,25.75350636,24.26658336,35.6307228,37.4204772,13.03770545,11.95206,189.86114517,202.19119254,35.38131672,34.3821112,23.147432,24.74591504,21.00310271,22.9223988,21.9338442,19.94794209,28.37570385,34.07652399,13.24046856,14.34384094,6.55969438,7.51318966,3.188913,3.574386,33.54510306,37.53292102,4.17538134,4.61305234,5.14446345,5.5897485,4.05097539,4.43637474,12.71523888,13.10820432,4.82365653,5.55140355,77.28120448,80.88494208,11.42567926,12.1640413,3.47142755,3.94361165,4.77495498,5.4595674,32.06530782,35.03260062,92.99099674,84.8118291,77.04032643,66.66472605,67.92273504,85.700634,47.5,44.82,47.491794,52.422636,28.927183,31.93215604,112.11876936,118.44328405,30.44202084,26.98649316,63.79273074,59.4875805,59.96063305,58.88485861,73.08682557,108.5299836,30.20508056,46.49346048,143.881892,149.57176682
2024-01-12,2024-01-15,2024-02-20,5.810844,6.3472296,4.7669428,5.55846875,12.54177808,13.24064222,24.448839,26.9366156,13.4878132,14.08621618,15.46660206,14.52236506,7.18,5.71,66.82817886,70.89499416,18.79770164,19.01318924,24.8223269,24.58272915,1485.78009,1517.58578,21.73053152,20.86209088,24.1761284,21.64572632,25.24795254,23.91963466,35.61246,37.5209226,13.0078253,11.8524595,189.5823476,200.70726999,34.98792872,33.61893848,23.29592496,25.05163584,21.35785412,23.23166926,21.6374409,19.74045978,28.6752965,34.03372504,13.3590127,14.48974142,6.59500902,7.47787502,3.2414775,3.63571125,33.26402338,37.1991389,4.2016416,4.6830797,5.1918342,5.5897485,4.05953982,4.44493917,12.70588256,13.35146864,4.91695743,5.58872391,75.89661056,80.16419456,11.52034106,12.4006958,3.52389245,3.96109995,4.84428282,5.52022926,31.8056697,35.06041899,92.089902,83.75230012,75.82552485,69.85109085,64.5744312,82.10320041,45.8,44.45,47.4398904,53.374202,28.8840081,32.77838408,111.353216,116.90347786,29.7941094,26.48583432,63.12491376,58.03524066,60.26405661,57.15396512,70.75813104,113.5861705,29.2186614,45.8132942,143.414743,147.92740234
2024-01-15,2024-01-16,2024-02-21,5.80190424,6.47238624,4.8203041,5.55846875,12.4662252,13.24064222,24.56036002,28.309182,13.54480396,14.09571464,16.5241475,14.70177009,7.2,5.73,65.9202387,73.79851113,18.48883608,19.2502256,24.4389705,24.88941427,1488.960659,1560.89604244,21.59392288,21.19385472,24.01920424,22.20476864,25.773332,24.10797824,35.2654668,38.0962008,12.948065,11.92217985,182.46851283,210.33028289,34.80697024,33.2019472,23.2347808,25.2001288,21.30327698,23.09522641,21.4398387,20.1554244,29.00912831,33.87964882,13.18575588,14.33472216,6.621495,7.70742018,3.2414775,3.6619935,33.41334696,38.28832266,4.23665528,4.73560022,5.20130835,5.7034383,4.08523311,4.58197005,12.631032,13.45438816,4.95427779,5.64470445,77.28120448,82.37385472,11.41621308,12.3533649,3.5326366,3.9873324,4.88761272,5.69354886,31.7129418,36.7202484,92.2879448,84.42564564,76.0744596,68.97484053,65.13248184,79.48235544,45.59,44.99,48.1059866,53.3828526,29.13442252,32.70066926,111.28362024,122.67992594,29.8431936,26.96685948,62.8590837,59.325489,59.93304909,57.7194363,71.84770371,106.79236444,29.556964,43.801284,141.69563468,150.6088376
