code,dividPreNoticeDate,dividAgmPumDate,dividPlanAnnounceDate,dividPlanDate,dividRegistDate,dividOperateDate,dividPayDate,dividStockMarketDate,dividCashPsBeforeTax,dividCashPsAfterTax,dividStocksPs,dividCashStock,dividReserveToStockPs
sh.601398,sh.601398,,2023-06-30,2023-03-31,2023-07-11,2023-07-14,2023-07-17,2023-07-17,,0.3035,0.27315或0.3035,0.000000,10派3.035元（含税，扣税后2.7315或3.035元）,
sh.601398,sh.601398,,2024-06-29,2024-03-28,2024-07-09,2024-07-15,2024-07-16,2024-07-16,,0.3064,0.27576或0.3064,0.000000,10派3.064元（含税，扣税后2.7576或3.064元）,
sh.601398,sh.601398,,,2024-08-31,,2025-01-06,2025-01-07,2025-01-07,,0.1434,,0.000000,10派1.434元,
sh.601398,sh.601398,,2024-12-03,2024-08-31,2024-12-31,2025-01-06,2025-01-07,2025-01-07,,0.1434,0.12906或0.1434,0.000000,10派1.434元（含税，扣税后1.2906或1.434元）,
sh.601398,sh.601398,,2025-06-28,2025-03-29,2025-07-08,2025-07-11,2025-07-14,2025-07-14,,0.1646,0.14814或0.1646,0.000000,10派1.646元（含税，扣税后1.4814或1.646元）,
sh.601398,sh.601398,,2025-11-29,2025-08-30,2025-12-09,2025-12-12,2025-12-15,2025-12-15,,0.1414,0.12726或0.1414,0.000000,10派1.414元（含税，扣税后1.2726或1.414元）,
sh.601288,sh.601288,,2020-06-30,2020-03-31,2020-07-06,2020-07-09,2020-07-10,2020-07-10,,0.1819,0.16371或0.1819,0.000000,10派1.819元（含税，扣税后1.6371或1.819元）,
sh.601288,sh.601288,,2021-05-28,2021-03-31,2021-06-08,2021-06-16,2021-06-17,2021-06-17,,0.1851,0.16659或0.1851,0.000000,10派1.851元（含税，扣税后1.6659或1.851元）,
sh.601288,sh.601288,,2022-06-30,2022-03-31,2022-07-08,2022-07-14,2022-07-15,2022-07-15,,0.2068,0.18612或0.2068,0.000000,10派2.068元（含税，扣税后1.8612或2.068元）,
sh.601288,sh.601288,,2023-06-30,2023-03-31,2023-07-10,2023-07-17,2023-07-18,2023-07-18,,0.2222,0.19998或0.2222,0.000000,10派2.222元（含税，扣税后1.9998或2.222元）,
sh.601288,sh.601288,,2024-05-22,2024-03-29,2024-05-30,2024-06-06,2024-06-07,2024-06-07,,0.2309,0.20781或0.2309,0.000000,10派2.309元（含税，扣税后2.0781或2.309元）,
sh.601288,sh.601288,,,2024-08-31,,2025-01-07,2025-01-08,2025-01-08,,0.1164,,0.000000,10派1.164元,
sh.601288,sh.601288,,2024-11-30,2024-08-31,2024-12-30,2025-01-07,2025-01-08,2025-01-08,,0.1164,0.10476或0.1164,0.000000,10派1.164元（含税，扣税后1.0476或1.164元）,
sh.601288,sh.601288,,2025-06-28,2025-03-29,2025-07-09,2025-07-16,2025-07-17,2025-07-17,,0.1255,0.11295或0.1255,0.000000,10派1.255元（含税，扣税后1.1295或1.255元）,
sh.601288,sh.601288,,2025-11-29,2025-08-30,2025-12-09,2025-12-12,2025-12-15,2025-12-15,,0.1195,0.10755或0.1195,0.000000,10派1.195元（含税，扣税后1.0755或1.195元）,
sh.601988,sh.601988,,2020-07-01,2020-03-28,2020-07-08,2020-07-14,2020-07-15,2020-07-15,,0.191,0.1719或0.191,0.000000,10派1.91元（含税，扣税后1.719或1.91元）,
sh.601988,sh.601988,,2021-05-21,2021-03-31,2021-05-28,2021-06-03,2021-06-04,2021-06-04,,0.197,0.1773或0.197,0.000000,10派1.97元（含税，扣税后1.773或1.97元）,
sh.601988,sh.601988,,2022-07-01,2022-03-30,2022-07-08,2022-07-14,2022-07-15,2022-07-15,,0.221,0.1989或0.221,0.000000,10派2.21元（含税，扣税后1.989或2.21元）,
sh.601988,sh.601988,,2023-07-01,2023-03-31,2023-07-08,2023-07-14,2023-07-17,2023-07-17,,0.232,0.2088或0.232,0.000000,10派2.32元（含税，扣税后2.088或2.32元）,
sh.601988,sh.601988,,2024-06-29,2024-03-29,2024-07-10,2024-07-16,2024-07-17,2024-07-17,,0.2364,0.21276或0.2364,0.000000,10派2.364元（含税，扣税后2.1276或2.364元）,
sh.601988,sh.601988,,,2024-08-30,,2025-01-22,2025-01-23,2025-01-23,,0.1208,,0.000000,10派1.208元,
sh.601988,sh.601988,,2024-12-21,2024-08-30,2025-01-15,2025-01-22,2025-01-23,2025-01-23,,0.1208,0.10872或0.1208,0.000000,10派1.208元（含税，扣税后1.0872或1.208元）,
sh.601988,sh.601988,,2025-04-17,2025-03-27,2025-04-21,2025-04-24,2025-04-25,2025-04-25,,0.1216,0.10944或0.1216,0.000000,10派1.216元（含税，扣税后1.0944或1.216元）,
sh.601988,sh.601988,,2025-11-28,2025-08-30,2025-12-05,2025-12-10,2025-12-11,2025-12-11,,0.1094,0.09846或0.1094,0.000000,10派1.094元（含税，扣税后0.9846或1.094元）,
sh.600000,sh.600000,,2020-06-20,2020-04-25,2020-07-16,2020-07-22,2020-07-23,2020-07-23,,0.6,0.54或0.6,0.000000,10派6元（含税，扣税后5.4或6元）,
sh.600000,sh.600000,,2021-06-12,2021-03-27,2021-07-13,2021-07-20,2021-07-21,2021-07-21,,0.48,0.432或0.48,0.000000,10派4.8元（含税，扣税后4.32或4.8元）,
sh.600000,sh.600000,,2022-06-18,2022-04-28,2022-07-13,2022-07-20,2022-07-21,2022-07-21,,0.41,0.369或0.41,0.000000,10派4.1元（含税，扣税后3.69或4.1元）,
sh.600000,sh.600000,,2023-06-29,2023-04-19,2023-07-13,2023-07-20,2023-07-21,2023-07-21,,0.32,0.288或0.32,0.000000,10派3.2元（含税，扣税后2.88或3.2元）,
sh.600000,sh.600000,,2024-06-29,2024-04-30,2024-07-11,2024-07-17,2024-07-18,2024-07-18,,0.321,0.2889或0.321,0.000000,10派3.21元（含税，扣税后2.889或3.21元）,
sh.600000,sh.600000,,2025-06-28,2025-03-29,2025-07-10,2025-07-15,2025-07-16,2025-07-16,,0.41,0.369或0.41,0.000000,10派4.1元（含税，扣税后3.69或4.1元）,
sh.601998,sh.601998,,2020-05-21,2020-03-27,2020-07-08,2020-07-14,2020-07-15,2020-07-15,,0.239,0.2151或0.239,0.000000,10派2.39元（含税，扣税后2.151或2.39元）,
sh.601998,sh.601998,,2021-06-25,2021-03-26,2021-07-22,2021-07-28,2021-07-29,2021-07-29,,0.254,0.2286或0.254,0.000000,10派2.54元（含税，扣税后2.286或2.54元）,
sh.601998,sh.601998,,2022-06-24,2022-03-25,2022-07-21,2022-07-27,2022-07-28,2022-07-28,,0.302,0.2718或0.302,0.000000,10派3.02元（含税，扣税后2.718或3.02元）,
sh.601998,sh.601998,,2023-06-22,2023-03-24,2023-07-13,2023-07-19,2023-07-20,2023-07-20,,0.329,0.2961或0.329,0.000000,10派3.29元（含税，扣税后2.961或3.29元）,
sh.601998,sh.601998,,2024-06-21,2024-03-22,2024-07-03,2024-07-09,2024-07-10,2024-07-10,,0.3261,0.29349或0.3261,0.000000,10派3.261元（含税，扣税后2.9349或3.261元）,
sh.601998,sh.601998,,2024-11-21,2024-08-29,2024-12-04,2024-12-10,2024-12-11,2024-12-11,,0.1825,0.16425或0.1825,0.000000,10派1.825元（含税，扣税后1.6425或1.825元）,
sh.601998,sh.601998,,2025-06-21,2025-03-27,2025-07-03,2025-07-09,2025-07-10,2025-07-10,,0.1722,0.15498或0.1722,0.000000,10派1.722元（含税，扣税后1.5498或1.722元）,
sh.601998,sh.601998,,2025-10-31,2025-08-28,2025-11-14,2025-11-20,2025-11-21,2025-11-21,,0.188,0.1692或0.188,0.000000,10派1.88元（含税，扣税后1.692或1.88元）,
sh.600519,sh.600519,,2020-06-11,2020-04-22,2020-06-18,2020-06-23,2020-06-24,2020-06-24,,17.025,15.3225或17.025,0.000000,10派170.25元（含税，扣税后153.225或170.25元）,
sh.600519,sh.600519,,2021-06-10,2021-03-31,2021-06-21,2021-06-24,2021-06-25,2021-06-25,,19.293,17.3637或19.293,0.000000,10派192.93元（含税，扣税后173.637或192.93元）,
sh.600519,sh.600519,,2022-06-17,2022-03-31,2022-06-24,2022-06-29,2022-06-30,2022-06-30,,21.675,19.5075或21.675,0.000000,10派216.75元（含税，扣税后195.075或216.75元）,
sh.600519,sh.600519,,2023-06-14,2023-03-31,2023-06-26,2023-06-29,2023-06-30,2023-06-30,,25.911,23.3199或25.911,0.000000,10派259.11元（含税，扣税后233.199或259.11元）,
sh.600519,sh.600519,,2024-05-30,2024-04-03,2024-06-12,2024-06-18,2024-06-19,2024-06-19,,30.876,27.7884或30.876,0.000000,10派308.76元（含税，扣税后277.884或308.76元）,
sh.600519,sh.600519,,2024-11-28,2024-11-09,2024-12-14,2024-12-19,2024-12-20,2024-12-20,,23.882,21.4938或23.882,0.000000,10派238.82元（含税，扣税后214.938或238.82元）,
sh.600519,sh.600519,,2025-05-20,2025-04-03,2025-06-20,2025-06-25,2025-06-26,2025-06-26,,27.673,24.9057或27.673,0.000000,10派276.73元（含税，扣税后249.057或276.73元）,
sh.600519,sh.600519,,2025-11-29,2025-11-06,2025-12-11,2025-12-18,2025-12-19,2025-12-19,,23.957,21.5613或23.957,0.000000,10派239.57元（含税，扣税后215.613或239.57元）,
sz.000858,sz.000858,,2020-05-30,2020-04-28,2020-06-13,2020-06-19,2020-06-22,2020-06-22,,2.2,1.98或2.2,0.000000,10派22元（含税，扣税后19.8或22元）,
sz.000858,sz.000858,,2021-06-19,2021-04-28,2021-07-03,2021-07-08,2021-07-09,2021-07-09,,2.58,2.322或2.58,0.000000,10派25.8元（含税，扣税后23.22或25.8元）,
sz.000858,sz.000858,,2022-05-28,2022-04-29,2022-06-22,2022-06-28,2022-06-29,2022-06-29,,3.023,2.7207或3.023,0.000000,10派30.23元（含税，扣税后27.207或30.23元）,
sz.000858,sz.000858,,2023-05-27,2023-04-29,2023-06-17,2023-06-26,2023-06-27,2023-06-27,,3.782,3.4038或3.782,0.000000,10派37.82元（含税，扣税后34.038或37.82元）,
sz.000858,sz.000858,,2024-06-29,2024-04-29,2024-07-06,2024-07-11,2024-07-12,2024-07-12,,4.67,4.203或4.67,0.000000,10派46.7元（含税，扣税后42.03或46.7元）,
sz.000858,sz.000858,,2024-12-31,2024-11-29,2025-01-16,2025-01-22,2025-01-23,2025-01-23,,2.576,2.3184或2.576,0.000000,10派25.76元（含税，扣税后23.184或25.76元）,
sz.000858,sz.000858,,2025-06-21,2025-04-26,2025-07-12,2025-07-17,2025-07-18,2025-07-18,,3.169,2.8521或3.169,0.000000,10派31.69元（含税，扣税后28.521或31.69元）,
sz.000858,sz.000858,,,2025-10-31,2025-12-11,2025-12-17,2025-12-18,2025-12-18,,2.578,2.3202或2.578,0.000000,10派25.78元（含税，扣税后23.202或25.78元）,
sh.600887,sh.600887,,2020-05-21,2020-04-29,2020-06-04,2020-06-09,2020-06-10,2020-06-10,,0.81,0.729或0.81,0.000000,10派8.1元（含税，扣税后7.29或8.1元）,
sh.600887,sh.600887,,2021-05-21,2021-04-29,2021-06-03,2021-06-10,2021-06-11,2021-06-11,,0.82,0.738或0.82,0.000000,10派8.2元（含税，扣税后7.38或8.2元）,
sh.600887,sh.600887,,2022-05-19,2022-04-28,2022-05-26,2022-05-31,2022-06-01,2022-06-01,,0.96,0.864或0.96,0.000000,10派9.6元（含税，扣税后8.64或9.6元）,
sh.600887,sh.600887,,2023-05-19,2023-04-28,2023-06-06,2023-06-12,2023-06-13,2023-06-13,,1.04,0.936或1.04,0.000000,10派10.4元（含税，扣税后9.36或10.4元）,
sh.600887,sh.600887,,2024-05-21,2024-04-30,2024-05-29,2024-06-04,2024-06-05,2024-06-05,,1.2,1.08或1.2,0.000000,10派12元（含税，扣税后10.8或12元）,
sh.600887,sh.600887,,2025-05-21,2025-04-30,2025-05-30,2025-06-05,2025-06-06,2025-06-06,,1.22,1.098或1.22,0.000000,10派12.2元（含税，扣税后10.98或12.2元）,
sh.600887,sh.600887,,2025-11-29,2025-10-31,2025-12-09,2025-12-16,2025-12-17,2025-12-17,,0.48,0.432或0.48,0.000000,10派4.8元（含税，扣税后4.32或4.8元）,
