code,dividPreNoticeDate,dividAgmPumDate,dividPlanAnnounceDate,dividPlanDate,dividRegistDate,dividOperateDate,dividPayDate,dividStockMarketDate,dividCashPsBeforeTax,dividCashPsAfterTax,dividStocksPs,dividCashStock,dividReserveToStockPs
sh.600809,sh.600809,,2024-05-18,2024-04-26,2024-06-28,2024-07-04,2024-07-05,2024-07-05,,4.37,3.933或4.37,0.000000,10派43.7元（含税，扣税后39.33或43.7元）,
sh.600809,sh.600809,,2025-01-10,2024-12-25,2025-01-20,2025-01-23,2025-01-24,2025-01-24,,2.46,2.214或2.46,0.000000,10派24.6元（含税，扣税后22.14或24.6元）,
sh.600809,sh.600809,,2025-05-30,2025-04-30,2025-07-01,2025-07-04,2025-07-07,2025-07-07,,3.6,3.24或3.6,0.000000,10派36元（含税，扣税后32.4或36元）,
sz.300750,sz.300750,,2020-05-18,2020-04-25,2020-05-28,2020-06-03,2020-06-04,2020-06-04,,0.220128,0.1981153或0.2201281,0.000000,10派2.201281元（含税，扣税后1.981153或2.201281元）,
sz.300750,sz.300750,,2021-05-21,2021-04-28,2021-06-28,2021-07-02,2021-07-05,2021-07-05,,0.240048,0.2160432或0.240048,0.000000,10派2.40048元（含税，扣税后2.160432或2.40048元）,
sz.300750,sz.300750,,2022-09-05,2022-08-24,2022-09-21,2022-09-27,2022-09-28,2022-09-28,,0.6528,0.58752或0.6528,0.000000,10派6.528元（含税，扣税后5.8752或6.528元）,
sz.300750,sz.300750,,2023-03-31,2023-03-10,2023-04-18,2023-04-25,2023-04-26,2023-04-26,2023-04-26,2.52,2.268或2.52,0.000000,10转8派25.2元（含税，扣税后22.68或25.2元）,0.800000
sz.300750,sz.300750,,2024-04-19,2024-03-16,2024-04-23,2024-04-29,2024-04-30,2024-04-30,,2.011,1.8099或2.011,0.000000,10派20.11元（含税，扣税后18.099或20.11元）,
sz.300750,sz.300750,,2025-04-08,2025-03-15,2025-04-15,2025-04-21,2025-04-22,2025-04-22,,4.553,4.0977或4.553,0.000000,10派45.53元（含税，扣税后40.977或45.53元）,
sz.300750,sz.300750,,,2025-07-31,2025-08-13,2025-08-19,2025-08-20,2025-08-20,,1.007,0.9063或1.007,0.000000,10派10.07元（含税，扣税后9.063或10.07元）,
sz.002594,sz.002594,,2020-06-24,2020-04-22,2020-08-12,2020-08-17,2020-08-18,2020-08-18,,0.06,0.054或0.06,0.000000,10派0.6元（含税，扣税后0.54或0.6元）,
sz.002594,sz.002594,,2021-06-09,2021-03-30,2021-07-30,2021-08-05,2021-08-06,2021-08-06,,0.148,0.1332或0.148,0.000000,10派1.48元（含税，扣税后1.332或1.48元）,
sz.002594,sz.002594,,2021-06-09,2021-03-30,2021-07-30,2021-08-05,2021-08-06,2021-08-06,,0.148,0.1332或0.148,0.000000,10派1.48元（含税，扣税后1.332或1.48元）,
sz.002594,sz.002594,,2022-06-09,2022-03-30,2022-07-22,2022-07-28,2022-07-29,2022-07-29,,0.105,0.0945或0.105,0.000000,10派1.05元（含税，扣税后0.945或1.05元）,
sz.002594,sz.002594,,2023-06-09,2023-03-29,2023-07-20,2023-07-27,2023-07-28,2023-07-28,,1.142,1.0278或1.142,0.000000,10派11.42元（含税，扣税后10.278或11.42元）,
sz.002594,sz.002594,,2024-06-07,2024-03-27,2024-07-20,2024-07-26,2024-07-29,2024-07-29,,3.097772,2.787995或3.0977722,0.000000,10派30.977722元（含税，扣税后27.87995或30.977722元）,
sz.002594,sz.002594,,2025-06-07,2025-04-23,2025-07-22,2025-07-28,2025-07-29,2025-07-29,2025-07-29,3.974,3.4966或3.974,0.800000,10转12送8派39.74元（含税，扣税后34.966或39.74元）,1.200000
sh.601012,sh.601012,,2020-05-14,2020-04-23,2020-05-28,2020-06-03,2020-06-04,2020-06-04,,0.2,0.18或0.2,0.000000,10派2元（含税，扣税后1.8或2元）,
sh.601012,sh.601012,,2020-09-16,2020-08-28,2020-10-19,2020-10-23,2020-10-26,2020-10-26,,0.18,0.162或0.18,0.000000,10派1.8元（含税，扣税后1.62或1.8元）,
sh.601012,sh.601012,,2021-06-08,2021-04-21,2021-06-17,2021-06-22,2021-06-23,2021-06-23,2021-06-24,0.25,0.225或0.25,0.000000,10转4派2.5元（含税，扣税后2.25或2.5元）,0.400000
sh.601012,sh.601012,,2022-05-21,2022-04-28,2022-05-30,2022-06-02,2022-06-06,2022-06-06,2022-06-07,0.26,0.234或0.26,0.000000,10转4派2.6元（含税，扣税后2.34或2.6元）,0.400000
sh.601012,sh.601012,,2023-05-19,2023-04-28,2023-06-13,2023-06-16,2023-06-19,2023-06-19,,0.4,0.36或0.4,0.000000,10派4元（含税，扣税后3.6或4元）,
sh.601012,sh.601012,,2024-06-18,2024-04-30,2024-07-09,2024-07-12,2024-07-15,2024-07-15,,0.17,0.153或0.17,0.000000,10派1.7元（含税，扣税后1.53或1.7元）,
sz.300274,sz.300274,,2020-05-19,2020-04-25,2020-07-03,2020-07-09,2020-07-10,2020-07-10,,0.07,0.063或0.07,0.000000,10派0.7元（含税，扣税后0.63或0.7元）,
sz.300274,sz.300274,,2021-05-18,2021-04-27,2021-05-21,2021-05-27,2021-05-28,2021-05-28,,0.14,0.126或0.14,0.000000,10派1.4元（含税，扣税后1.26或1.4元）,
sz.300274,sz.300274,,2022-05-18,2022-04-20,2022-06-21,2022-06-27,2022-06-28,2022-06-28,,0.110482,0.0994342或0.1104824,0.000000,10派1.104824元（含税，扣税后0.994342或1.104824元）,
sz.300274,sz.300274,,2023-05-19,2023-04-25,2023-05-31,2023-06-06,2023-06-07,2023-06-07,,0.22,0.198或0.22,0.000000,10派2.2元（含税，扣税后1.98或2.2元）,
sz.300274,sz.300274,,2024-05-28,2024-04-23,2024-06-05,2024-06-12,2024-06-13,2024-06-13,2024-06-13,0.965,0.8685或0.965,0.000000,10转4派9.65元（含税，扣税后8.685或9.65元）,0.400000
sz.300274,sz.300274,,2025-05-28,2025-04-26,2025-06-05,2025-06-12,2025-06-13,2025-06-13,,1.08,0.972或1.08,0.000000,10派10.8元（含税，扣税后9.72或10.8元）,
sz.300274,sz.300274,,2025-10-01,2025-08-26,2025-10-14,2025-10-17,2025-10-20,2025-10-20,,0.95,0.855或0.95,0.000000,10派9.5元（含税，扣税后8.55或9.5元）,
sh.600900,sh.600900,,2020-05-22,2020-04-30,2020-07-13,2020-07-16,2020-07-17,2020-07-17,,0.68,0.612或0.68,0.000000,10派6.8元（含税，扣税后6.12或6.8元）,
sh.600900,sh.600900,,2021-06-01,2021-04-30,2021-07-09,2021-07-15,2021-07-16,2021-07-16,,0.7,0.63或0.7,0.000000,10派7元（含税，扣税后6.3或7元）,
sh.600900,sh.600900,,2022-05-26,2022-04-30,2022-07-13,2022-07-20,2022-07-21,2022-07-21,,0.8153,0.73377或0.8153,0.000000,10派8.153元（含税，扣税后7.3377或8.153元）,
sh.600900,sh.600900,,2023-05-24,2023-04-28,2023-07-17,2023-07-20,2023-07-21,2023-07-21,,0.8533,0.76797或0.8533,0.000000,10派8.533元（含税，扣税后7.6797或8.533元）,
sh.600900,sh.600900,,2024-05-24,2024-04-30,2024-07-11,2024-07-18,2024-07-19,2024-07-19,,0.82,0.738或0.82,0.000000,10派8.2元（含税，扣税后7.38或8.2元）,
sh.600900,sh.600900,,2024-12-31,2024-12-14,2025-01-16,2025-01-23,2025-01-24,2025-01-24,,0.21,0.189或0.21,0.000000,10派2.1元（含税，扣税后1.89或2.1元）,
sh.600900,sh.600900,,2025-05-23,2025-04-30,2025-07-11,2025-07-17,2025-07-18,2025-07-18,,0.733,0.6597或0.733,0.000000,10派7.33元（含税，扣税后6.597或7.33元）,
sh.600900,sh.600900,,,2025-12-31,2026-02-05,2026-02-11,2026-02-12,2026-02-12,,0.21,0.189或0.21,0.000000,10派2.1元（含税，扣税后1.89或2.1元）,
sh.600438,sh.600438,,2020-05-13,2020-04-21,2020-05-20,2020-05-25,2020-05-26,2020-05-26,,0.186,0.1674或0.186,0.000000,10派1.86元（含税，扣税后1.674或1.86元）,
sh.600438,sh.600438,,2021-05-08,2021-04-13,2021-05-17,2021-05-20,2021-05-21,2021-05-21,,0.241,0.2169或0.241,0.000000,10派2.41元（含税，扣税后2.169或2.41元）,
sh.600438,sh.600438,,2022-05-17,2022-04-26,2022-05-24,2022-05-27,2022-05-30,2022-05-30,,0.912,0.8208或0.912,0.000000,10派9.12元（含税，扣税后8.208或9.12元）,
sh.600438,sh.600438,,2023-05-17,2023-04-25,2023-05-24,2023-05-30,2023-05-31,2023-05-31,,2.858,2.5722或2.858,0.000000,10派28.58元（含税，扣税后25.722或28.58元）,
sh.600438,sh.600438,,2024-05-21,2024-04-30,2024-06-07,2024-06-13,2024-06-14,2024-06-14,,0.905,0.8145或0.905,0.000000,10派9.05元（含税，扣税后8.145或9.05元）,
sh.600089,sh.600089,,2020-05-08,2020-04-14,2020-06-30,2020-07-03,2020-07-06,2020-07-06,,0.165,0.1485或0.165,0.000000,10派1.65元（含税，扣税后1.485或1.65元）,
sh.600089,sh.600089,,2021-05-08,2021-04-15,2021-06-11,2021-06-17,2021-06-18,2021-06-18,,0.21,0.189或0.21,0.000000,10派2.1元（含税，扣税后1.89或2.1元）,
sh.600089,sh.600089,,2022-05-07,2022-04-12,2022-06-17,2022-06-22,2022-06-23,2022-06-23,,0.58,0.522或0.58,0.000000,10派5.8元（含税，扣税后5.22或5.8元）,
sh.600089,sh.600089,,2023-05-20,2023-04-25,2023-07-12,2023-07-17,2023-07-18,2023-07-18,2023-07-18,1.12,1.008或1.12,0.000000,10转3派11.2元（含税，扣税后10.08或11.2元）,0.300000
sh.600089,sh.600089,,2024-05-08,2024-04-09,2024-06-28,2024-07-03,2024-07-04,2024-07-04,,0.2,0.18或0.2,0.000000,10派2元（含税，扣税后1.8或2元）,
sh.600089,sh.600089,,2025-05-13,2025-04-22,2025-07-04,2025-07-09,2025-07-10,2025-07-10,,0.25,0.225或0.25,0.000000,10派2.5元（含税，扣税后2.25或2.5元）,
sh.600584,sh.600584,,2021-06-04,2021-04-29,2021-07-08,2021-07-15,2021-07-16,2021-07-16,,0.05,0.045或0.05,0.000000,10派0.5元（含税，扣税后0.45或0.5元）,
sh.600584,sh.600584,,2022-05-21,2022-03-31,2022-07-06,2022-07-13,2022-07-14,2022-07-14,,0.2,0.18或0.2,0.000000,10派2元（含税，扣税后1.8或2元）,
sh.600584,sh.600584,,2023-04-29,2023-03-31,2023-06-15,2023-06-20,2023-06-21,2023-06-21,,0.2,0.18或0.2,0.000000,10派2元（含税，扣税后1.8或2元）,
sh.600584,sh.600584,,2024-05-17,2024-04-19,2024-06-19,2024-06-26,2024-06-27,2024-06-27,,0.1,0.09或0.1,0.000000,10派1元（含税，扣税后0.9或1元）,
sh.600584,sh.600584,,2025-05-16,2025-04-21,2025-06-12,2025-06-19,2025-06-20,2025-06-20,,0.12,0.108或0.12,0.000000,10派1.2元（含税，扣税后1.08或1.2元）,
sh.600584,sh.600584,,,2025-08-21,2025-09-18,2025-09-25,2025-09-26,2025-09-26,,0.03,0.027或0.03,0.000000,10派0.3元（含税，扣税后0.27或0.3元）,
sh.600183,sh.600183,,2020-04-22,2020-03-25,2020-05-22,2020-05-28,2020-05-29,2020-05-29,,0.4,0.36或0.4,0.000000,10派4元（含税，扣税后3.6或4元）,
sh.600183,sh.600183,,2021-04-23,2021-03-30,2021-05-21,2021-05-27,2021-05-28,2021-05-28,,0.4,0.36或0.4,0.000000,10派4元（含税，扣税后3.6或4元）,
sh.600183,sh.600183,,2022-04-23,2022-03-29,2022-05-19,2022-05-25,2022-05-26,2022-05-26,,0.6,0.54或0.6,0.000000,10派6元（含税，扣税后5.4或6元）,
sh.600183,sh.600183,,2023-04-20,2023-03-29,2023-05-19,2023-05-25,2023-05-26,2023-05-26,,0.45,0.405或0.45,0.000000,10派4.5元（含税，扣税后4.05或4.5元）,
sh.600183,sh.600183,,2024-05-09,2024-03-29,2024-05-18,2024-05-23,2024-05-24,2024-05-24,,0.45,0.405或0.45,0.000000,10派4.5元（含税，扣税后4.05或4.5元）,
sh.600183,sh.600183,,2025-04-19,2025-03-29,2025-05-16,2025-05-22,2025-05-23,2025-05-23,,0.6,0.54或0.6,0.000000,10派6元（含税，扣税后5.4或6元）,
sh.600183,sh.600183,,2025-09-04,2025-08-16,2025-09-18,2025-09-24,2025-09-25,2025-09-25,,0.4,0.36或0.4,0.000000,10派4元（含税，扣税后3.6或4元）,
sz.300308,sz.300308,,2020-06-10,2020-04-24,2020-06-23,2020-07-01,2020-07-02,2020-07-02,,0.084,0.0756或0.084,0.000000,10派0.84元（含税，扣税后0.756或0.84元）,
sz.300308,sz.300308,,2021-05-19,2021-04-27,2021-06-01,2021-06-08,2021-06-09,2021-06-09,,0.121,0.1089或0.121,0.000000,10派1.21元（含税，扣税后1.089或1.21元）,
sz.300308,sz.300308,,2022-05-17,2022-04-25,2022-05-18,2022-05-25,2022-05-26,2022-05-26,,0.22,0.198或0.22,0.000000,10派2.2元（含税，扣税后1.98或2.2元）,
sz.300308,sz.300308,,2023-05-19,2023-04-24,2023-05-30,2023-06-05,2023-06-06,2023-06-06,,0.2,0.18或0.2,0.000000,10派2元（含税，扣税后1.8或2元）,
sz.300308,sz.300308,,2024-05-24,2024-04-22,2024-05-30,2024-06-05,2024-06-06,2024-06-06,2024-06-06,0.45,0.405或0.45,0.000000,10转4派4.5元（含税，扣税后4.05或4.5元）,0.400000
sz.300308,sz.300308,,2025-05-16,2025-04-21,2025-06-12,2025-06-18,2025-06-19,2025-06-19,,0.5,0.45或0.5,0.000000,10派5元（含税，扣税后4.5或5元）,
sz.300308,sz.300308,,2025-09-18,2025-08-27,2025-09-26,2025-10-10,2025-10-13,2025-10-13,,0.4,0.36或0.4,0.000000,10派4元（含税，扣税后3.6或4元）,
sz.300394,sz.300394,,2020-05-21,2020-04-28,2020-06-01,2020-06-05,2020-06-08,2020-06-08,,0.4,0.36或0.4,0.000000,10派4元（含税，扣税后3.6或4元）,
sz.300394,sz.300394,,2021-05-14,2021-04-23,2021-06-17,2021-06-24,2021-06-25,2021-06-25,2021-06-25,0.6,0.54或0.6,0.000000,10转8派6元（含税，扣税后5.4或6元）,0.800000
sz.300394,sz.300394,,2022-05-13,2022-04-19,2022-06-01,2022-06-09,2022-06-10,2022-06-10,,0.4,0.36或0.4,0.000000,10派4元（含税，扣税后3.6或4元）,
sz.300394,sz.300394,,2023-05-22,2023-04-21,2023-06-01,2023-06-06,2023-06-07,2023-06-07,,0.5,0.45或0.5,0.000000,10派5元（含税，扣税后4.5或5元）,
sz.300394,sz.300394,,2024-05-13,2024-04-22,2024-05-23,2024-05-29,2024-05-30,2024-05-30,2024-05-30,1,0.9或1,0.000000,10转4派10元（含税，扣税后9或10元）,0.400000
sz.300394,sz.300394,,,2024-08-23,2024-10-10,2024-10-16,2024-10-17,2024-10-17,,0.5,0.45或0.5,0.000000,10派5元（含税，扣税后4.5或5元）,
sz.300394,sz.300394,,2025-05-12,2025-04-21,2025-05-29,2025-06-06,2025-06-09,2025-06-09,2025-06-09,0.5,0.45或0.5,0.000000,10转4派5元（含税，扣税后4.5或5元）,0.400000
sz.300394,sz.300394,,,2025-08-26,2025-09-11,2025-09-18,2025-09-19,2025-09-19,,0.5,0.45或0.5,0.000000,10派5元（含税，扣税后4.5或5元）,
sh.603501,sh.603501,,2020-06-12,2020-04-10,2020-07-18,2020-07-23,2020-07-24,2020-07-24,,0.07,0.063或0.07,0.000000,10派0.7元（含税，扣税后0.63或0.7元）,
sh.603501,sh.603501,,2021-06-11,2021-04-16,2021-06-24,2021-06-29,2021-06-30,2021-06-30,,0.315,0.2835或0.315,0.000000,10派3.15元（含税，扣税后2.835或3.15元）,
sh.603501,sh.603501,,2022-06-28,2022-04-19,2022-07-22,2022-07-27,2022-07-28,2022-07-28,2022-07-29,0.52,0.468或0.52,0.000000,10转3.5派5.2元（含税，扣税后4.68或5.2元）,0.350000
sh.603501,sh.603501,,2023-06-27,2023-04-08,2023-07-25,2023-07-28,2023-07-31,2023-07-31,,0.084,0.0756或0.084,0.000000,10派0.84元（含税，扣税后0.756或0.84元）,
sh.603501,sh.603501,,2024-06-26,2024-04-27,2024-08-07,2024-08-12,2024-08-13,2024-08-13,,0.14,0.126或0.14,0.000000,10派1.4元（含税，扣税后1.26或1.4元）,
sh.603501,sh.603501,,,2024-10-26,2024-12-12,2024-12-17,2024-12-18,2024-12-18,,0.2,0.18或0.2,0.000000,10派2元（含税，扣税后1.8或2元）,
sh.603501,sh.603501,,2025-06-11,2025-04-16,2025-07-26,2025-07-31,2025-08-01,2025-08-01,,0.22,0.198或0.22,0.000000,10派2.2元（含税，扣税后1.98或2.2元）,
sh.603501,sh.603501,,,2025-10-29,2025-11-18,2025-11-21,2025-11-24,2025-11-24,,0.4,0.36或0.4,0.000000,10派4元（含税，扣税后3.6或4元）,
sh.600703,sh.600703,,2020-05-15,2020-04-24,2020-05-27,2020-06-01,2020-06-02,2020-06-02,,0.1,0.09或0.1,0.000000,10派1元（含税，扣税后0.9或1元）,
sh.600703,sh.600703,,2021-05-19,2021-04-28,2021-06-29,2021-07-02,2021-07-05,2021-07-05,,0.15,0.135或0.15,0.000000,10派1.5元（含税，扣税后1.35或1.5元）,
sh.600703,sh.600703,,2022-06-03,2022-04-26,2022-07-08,2022-07-13,2022-07-14,2022-07-14,,0.1,0.09或0.1,0.000000,10派1元（含税，扣税后0.9或1元）,
sh.600703,sh.600703,,2023-05-20,2023-04-28,2023-06-27,2023-07-04,2023-07-05,2023-07-05,,0.05,0.045或0.05,0.000000,10派0.5元（含税，扣税后0.45或0.5元）,
sh.600703,sh.600703,,2024-05-18,2024-04-27,2024-06-05,2024-06-12,2024-06-13,2024-06-13,,0.03,0.027或0.03,0.000000,10派0.3元（含税，扣税后0.27或0.3元）,
sh.600703,sh.600703,,2025-05-17,2025-04-26,2025-06-25,2025-06-30,2025-07-01,2025-07-01,,0.02,0.018或0.02,0.000000,10派0.2元（含税，扣税后0.18或0.2元）,
sh.600570,sh.600570,,2020-05-16,2020-04-25,2020-05-29,2020-06-04,2020-06-05,2020-06-05,2020-06-08,0.53,0.447或0.53,0.300000,10送3派5.3元（含税，扣税后4.47或5.3元）,
sh.600570,sh.600570,,2021-06-04,2021-04-27,2021-07-12,2021-07-15,2021-07-16,2021-07-16,2021-07-19,0.1,0.05或0.1,0.400000,10送4派1元（含税，扣税后0.5或1元）,
sh.600570,sh.600570,,2022-06-25,2022-03-31,2022-08-12,2022-08-17,2022-08-18,2022-08-18,2022-08-19,0.1,0.06或0.1,0.300000,10送3派1元（含税，扣税后0.6或1元）,
sh.600570,sh.600570,,2023-04-25,2023-04-01,2023-06-09,2023-06-16,2023-06-19,2023-06-19,,0.13,0.117或0.13,0.000000,10派1.3元（含税，扣税后1.17或1.3元）,
sh.600570,sh.600570,,2024-04-16,2024-03-25,2024-06-04,2024-06-07,2024-06-11,2024-06-11,,0.13,0.117或0.13,0.000000,10派1.3元（含税，扣税后1.17或1.3元）,
sh.600570,sh.600570,,2025-04-23,2025-03-29,2025-05-30,2025-06-05,2025-06-06,2025-06-06,,0.1,0.09或0.1,0.000000,10派1元（含税，扣税后0.9或1元）,
sh.600845,sh.600845,,2020-05-14,2020-04-22,2020-06-05,2020-06-11,2020-06-12,2020-06-12,,0.4,0.36或0.4,0.000000,10派4元（含税，扣税后3.6或4元）,
sh.600845,sh.600845,,2021-05-08,2021-04-13,2021-06-01,2021-06-08,2021-06-09,2021-06-09,2021-06-10,0.9,0.81或0.9,0.000000,10转3派9元（含税，扣税后8.1或9元）,0.300000
sh.600845,sh.600845,,2022-06-29,2022-03-29,2022-07-08,2022-07-14,2022-07-15,2022-07-15,2022-07-18,1,0.9或1,0.000000,10转3派10元（含税，扣税后9或10元）,0.300000
sh.600845,sh.600845,,2023-04-27,2023-04-05,2023-06-02,2023-06-08,2023-06-09,2023-06-09,2023-06-09,0.8,0.72或0.8,0.000000,10转2派8元（含税，扣税后7.2或8元）,0.200000
sh.600845,sh.600845,,2024-04-27,2024-03-30,2024-06-04,2024-06-11,2024-06-12,2024-06-12,2024-06-12,1,0.9或1,0.000000,10转2派10元（含税，扣税后9或10元）,0.200000
sh.600845,sh.600845,,2025-04-24,2025-04-01,2025-05-29,2025-06-05,2025-06-06,2025-06-06,,0.6,0.54或0.6,0.000000,10派6元（含税，扣税后5.4或6元）,
sh.688041,sh.688041,,2023-05-09,2023-04-18,2023-06-09,2023-06-14,2023-06-15,2023-06-15,,0.04,0.036或0.04,0.000000,10派0.4元（含税，扣税后0.36或0.4元）,
sh.688041,sh.688041,,2024-05-07,2024-04-12,2024-06-12,2024-06-17,2024-06-18,2024-06-18,,0.1101,0.09909或0.1101,0.000000,10派1.101元（含税，扣税后0.9909或1.101元）,
sh.688041,sh.688041,,2025-03-18,2025-03-01,2025-05-10,2025-05-15,2025-05-16,2025-05-16,,0.17,0.153或0.17,0.000000,10派1.7元（含税，扣税后1.53或1.7元）,
sh.688041,sh.688041,,2025-12-30,2025-12-10,2026-01-23,2026-01-28,2026-01-29,2026-01-29,,0.09,0.081或0.09,0.000000,10派0.9元（含税，扣税后0.81或0.9元）,
sh.603986,sh.603986,,2020-04-21,2020-03-27,2020-04-28,2020-05-06,2020-05-07,2020-05-07,2020-05-08,0.38,0.342或0.38,0.000000,10转4派3.8元（含税，扣税后3.42或3.8元）,0.400000
sh.603986,sh.603986,,2021-05-08,2021-04-17,2021-05-15,2021-05-20,2021-05-21,2021-05-21,2021-05-24,0.56,0.504或0.56,0.000000,10转4派5.6元（含税，扣税后5.04或5.6元）,0.400000
sh.603986,sh.603986,,2022-05-19,2022-04-28,2022-05-27,2022-06-01,2022-06-02,2022-06-02,,1.06,0.954或1.06,0.000000,10派10.6元（含税，扣税后9.54或10.6元）,
sh.603986,sh.603986,,2023-05-19,2023-04-28,2023-06-14,2023-06-19,2023-06-20,2023-06-20,,0.62,0.558或0.62,0.000000,10派6.2元（含税，扣税后5.58或6.2元）,
sh.603986,sh.603986,,2025-05-17,2025-04-26,2025-06-27,2025-07-02,2025-07-03,2025-07-03,,0.34,0.306或0.34,0.000000,10派3.4元（含税，扣税后3.06或3.4元）,
sz.002475,sz.002475,,2020-05-14,2020-04-21,2020-06-10,2020-06-16,2020-06-17,2020-06-17,2020-06-17,0.119988,0.1079896或0.1199884,0.000000,10转2.999711派1.199884元（含税，扣税后1.079896或1.199884元）,0.299971
sz.002475,sz.002475,,2021-05-19,2021-04-21,2021-06-30,2021-07-07,2021-07-08,2021-07-08,,0.11,0.0989999或0.1099999,0.000000,10派1.099999元（含税，扣税后0.989999或1.099999元）,
sz.002475,sz.002475,,2022-05-19,2022-04-28,2022-07-07,2022-07-12,2022-07-13,2022-07-13,,0.109982,0.0989838或0.109982,0.000000,10派1.09982元（含税，扣税后0.989838或1.09982元）,
sz.002475,sz.002475,,2023-05-23,2023-04-28,2023-06-09,2023-06-14,2023-06-15,2023-06-15,,0.129966,0.1169695或0.1299661,0.000000,10派1.299661元（含税，扣税后1.169695或1.299661元）,
sz.002475,sz.002475,,2024-06-28,2024-04-25,2024-07-05,2024-07-10,2024-07-11,2024-07-11,,0.298946,0.2690515或0.2989461,0.000000,10派2.989461元（含税，扣税后2.690515或2.989461元）,
sz.002475,sz.002475,,2025-05-23,2025-04-26,2025-07-08,2025-07-11,2025-07-14,2025-07-14,,0.199873,0.1798852或0.1998725,0.000000,10派1.998725元（含税，扣税后1.798852或1.998725元）,
sz.002475,sz.002475,,2025-12-23,2025-10-31,2026-02-06,2026-02-11,2026-02-12,2026-02-12,,0.159915,0.1439232或0.1599147,0.000000,10派1.599147元（含税，扣税后1.439232或1.599147元）,
sh.601899,sh.601899,,2020-06-13,2020-03-21,2020-07-10,2020-07-16,2020-07-17,2020-07-17,,0.1,0.09或0.1,0.000000,10派1元（含税，扣税后0.9或1元）,
sh.601899,sh.601899,,2021-05-29,2021-03-20,2021-07-03,2021-07-08,2021-07-09,2021-07-09,,0.12,0.108或0.12,0.000000,10派1.2元（含税，扣税后1.08或1.2元）,
sh.601899,sh.601899,,2022-05-18,2022-03-19,2022-06-06,2022-06-09,2022-06-10,2022-06-10,,0.2,0.18或0.2,0.000000,10派2元（含税，扣税后1.8或2元）,
sh.601899,sh.601899,,2023-05-26,2023-03-25,2023-06-09,2023-06-14,2023-06-15,2023-06-15,,0.2,0.18或0.2,0.000000,10派2元（含税，扣税后1.8或2元）,
sh.601899,sh.601899,,2023-12-09,2023-08-26,2023-12-19,2023-12-22,2023-12-25,2023-12-25,,0.05,0.045或0.05,0.000000,10派0.5元（含税，扣税后0.45或0.5元）,
sh.601899,sh.601899,,2024-05-18,2024-03-23,2024-06-04,2024-06-07,2024-06-11,2024-06-11,,0.2,0.18或0.2,0.000000,10派2元（含税，扣税后1.8或2元）,
sh.601899,sh.601899,,,2024-07-20,2024-08-03,2024-08-08,2024-08-09,2024-08-09,,0.1,0.09或0.1,0.000000,10派1元（含税，扣税后0.9或1元）,
sh.601899,sh.601899,,2025-05-20,2025-03-22,2025-06-05,2025-06-12,2025-06-13,2025-06-13,,0.28,0.252或0.28,0.000000,10派2.8元（含税，扣税后2.52或2.8元）,
sh.601899,sh.601899,,,2025-08-27,2025-09-24,2025-09-29,2025-09-30,2025-09-30,,0.22,0.198或0.22,0.000000,10派2.2元（含税，扣税后1.98或2.2元）,
sh.600309,sh.600309,,2020-04-28,2020-03-31,2020-05-11,2020-05-14,2020-05-15,2020-05-15,,1.3,1.17或1.3,0.000000,10派13元（含税，扣税后11.7或13元）,
sh.600309,sh.600309,,2021-04-13,2021-03-16,2021-04-20,2021-04-23,2021-04-26,2021-04-26,,1.3,1.17或1.3,0.000000,10派13元（含税，扣税后11.7或13元）,
sh.600309,sh.600309,,2022-04-12,2022-03-15,2022-04-25,2022-04-28,2022-04-29,2022-04-29,,2.5,2.25或2.5,0.000000,10派25元（含税，扣税后22.5或25元）,
sh.600309,sh.600309,,2023-05-13,2023-03-21,2023-05-22,2023-05-25,2023-05-26,2023-05-26,,1.6,1.44或1.6,0.000000,10派16元（含税，扣税后14.4或16元）,
sh.600309,sh.600309,,2024-04-09,2024-03-19,2024-04-16,2024-04-19,2024-04-22,2024-04-22,,1.625,1.4625或1.625,0.000000,10派16.25元（含税，扣税后14.625或16.25元）,
sh.600309,sh.600309,,,2024-08-13,2024-08-30,2024-09-04,2024-09-05,2024-09-05,,0.52,0.468或0.52,0.000000,10派5.2元（含税，扣税后4.68或5.2元）,
sh.600309,sh.600309,,2025-05-16,2025-04-15,2025-05-26,2025-05-29,2025-05-30,2025-05-30,,0.73,0.657或0.73,0.000000,10派7.3元（含税，扣税后6.57或7.3元）,
sh.601600,sh.601600,,2022-06-22,2022-03-23,2022-08-13,2022-08-18,2022-08-19,2022-08-19,,0.0318,0.02862或0.0318,0.000000,10派0.318元（含税，扣税后0.2862或0.318元）,
sh.601600,sh.601600,,2023-06-21,2023-03-22,2023-08-11,2023-08-17,2023-08-18,2023-08-18,,0.036,0.0324或0.036,0.000000,10派0.36元（含税，扣税后0.324或0.36元）,
sh.601600,sh.601600,,2024-06-26,2024-03-28,2024-07-19,2024-07-25,2024-07-26,2024-07-26,,0.08,0.072或0.08,0.000000,10派0.8元（含税，扣税后0.72或0.8元）,
sh.601600,sh.601600,,2024-11-20,2024-08-29,2024-12-20,2024-12-26,2024-12-27,2024-12-27,,0.082,0.0738或0.082,0.000000,10派0.82元（含税，扣税后0.738或0.82元）,
sh.601600,sh.601600,,2025-06-27,2025-03-27,2025-08-01,2025-08-07,2025-08-08,2025-08-08,,0.135,0.1215或0.135,0.000000,10派1.35元（含税，扣税后1.215或1.35元）,
